Crop,District,Year,Season,Area(Hectare),Production(Tonne),Yield(Tonne/Hectare),Annual_Temp,Fertilizer(KG_per_hectare),ANNUAL_RAINFALL(Millimeters)
bajra,anantapur,2014,kharif,1752,1028.0,0.59,30.5,115.13,575.0
cotton,anantapur,2014,kharif,73734,103779.0,1.41,30.5,115.13,575.0
groundnut,anantapur,2014,kharif,550794,148714.0,0.27,30.5,115.13,575.0
groundnut,anantapur,2014,kharif,122578,72811.0,0.59,30.5,115.13,575.0
maize,anantapur,2014,kharif,16839,42687.0,2.54,30.5,115.13,575.0
maize,anantapur,2014,kharif,2693,8820.0,3.28,30.5,115.13,575.0
ragi,anantapur,2014,kharif,1136,1713.0,1.51,30.5,115.13,575.0
rice,anantapur,2014,kharif,22658,68155.0,3.01,30.5,115.13,575.0
turmeric,anantapur,2014,kharif,19,223.0,11.74,30.5,115.13,575.0
castor_seed,anantapur,2014,rabi,229,131.0,0.57,30.5,115.13,575.0
gram,anantapur,2014,rabi,68092,38676.0,0.57,30.5,115.13,575.0
moong(green_gram),anantapur,2014,rabi,586,481.0,0.82,30.5,115.13,575.0
safflower,anantapur,2014,rabi,310,87.0,0.28,30.5,115.13,575.0
sunflower,anantapur,2014,rabi,3386,1642.0,0.48,30.5,115.13,575.0
bajra,chittoor,2014,kharif,2071,4622.0,2.23,26.5,196.19,709.0
cotton,chittoor,2014,kharif,308,723.0,2.35,26.5,196.19,709.0
groundnut,chittoor,2014,kharif,27,44.0,1.63,26.5,196.19,709.0
maize,chittoor,2014,kharif,755,2500.0,3.31,26.5,196.19,709.0
ragi,chittoor,2014,kharif,4556,3686.0,0.81,26.5,196.19,709.0
rice,chittoor,2014,kharif,13304,44462.0,3.34,26.5,196.19,709.0
turmeric,chittoor,2014,kharif,17,199.0,11.71,26.5,196.19,709.0
gram,chittoor,2014,rabi,7,7.0,1.0,26.5,196.19,709.0
moong(green_gram),chittoor,2014,rabi,384,315.0,0.82,26.5,196.19,709.0
sunflower,chittoor,2014,rabi,1310,1104.0,0.84,26.5,196.19,709.0
bajra,east_godavari,2014,kharif,58,75.0,1.29,27.5,440.27,719.0
