Dist_Code,Year,State_Code,State_Name,Dist_Name,Fertilizer(KG_per_hectare)
44,2014,1,Andhra Pradesh,Srikakulam,183.22
44,2015,1,Andhra Pradesh,Srikakulam,167.77
44,2016,1,Andhra Pradesh,Srikakulam,168.19
44,2017,1,Andhra Pradesh,Srikakulam,174.21
44,2018,1,Andhra Pradesh,Srikakulam,187.29
44,2019,1,Andhra Pradesh,Srikakulam,190.1
44,2020,1,Andhra Pradesh,Srikakulam,197.76
45,2014,1,Andhra Pradesh,Visakhapatnam,133.55
45,2015,1,Andhra Pradesh,Visakhapatnam,116.41
45,2016,1,Andhra Pradesh,Visakhapatnam,162.97
45,2017,1,Andhra Pradesh,Visakhapatnam,143.37
45,2018,1,Andhra Pradesh,Visakhapatnam,140.21
45,2019,1,Andhra Pradesh,Visakhapatnam,131.28
45,2020,1,Andhra Pradesh,Visakhapatnam,156.85
46,2014,1,Andhra Pradesh,East Godavari,440.27
46,2015,1,Andhra Pradesh,East Godavari,412.05
46,2016,1,Andhra Pradesh,East Godavari,406.28
46,2017,1,Andhra Pradesh,East Godavari,372.2
46,2018,1,Andhra Pradesh,East Godavari,370.26
46,2019,1,Andhra Pradesh,East Godavari,409.3
46,2020,1,Andhra Pradesh,East Godavari,335.86
47,2014,1,Andhra Pradesh,West Godavari,668.86
47,2015,1,Andhra Pradesh,West Godavari,554.22
47,2016,1,Andhra Pradesh,West Godavari,595.16
47,2017,1,Andhra Pradesh,West Godavari,540.14
47,2018,1,Andhra Pradesh,West Godavari,555.28
47,2019,1,Andhra Pradesh,West Godavari,529.88
47,2020,1,Andhra Pradesh,West Godavari,444.72
48,2014,1,Andhra Pradesh,Krishna,435.53
48,2015,1,Andhra Pradesh,Krishna,402.5
48,2016,1,Andhra Pradesh,Krishna,544.55
48,2017,1,Andhra Pradesh,Krishna,440.18
48,2018,1,Andhra Pradesh,Krishna,360.46
48,2019,1,Andhra Pradesh,Krishna,336.84
48,2020,1,Andhra Pradesh,Krishna,303.08
49,2014,1,Andhra Pradesh,Guntur,415.43
49,2015,1,Andhra Pradesh,Guntur,317.23
49,2016,1,Andhra Pradesh,Guntur,352.35
49,2017,1,Andhra Pradesh,Guntur,363.87
49,2018,1,Andhra Pradesh,Guntur,351.11
49,2019,1,Andhra Pradesh,Guntur,397.24
49,2020,1,Andhra Pradesh,Guntur,341.54
50,2014,1,Andhra Pradesh,S.P.S. Nellore,343.32
50,2015,1,Andhra Pradesh,S.P.S. Nellore,270.35
50,2016,1,Andhra Pradesh,S.P.S. Nellore,298.23
50,2017,1,Andhra Pradesh,S.P.S. Nellore,330.24
50,2018,1,Andhra Pradesh,S.P.S. Nellore,312.66
50,2019,1,Andhra Pradesh,S.P.S. Nellore,315.94
50,2020,1,Andhra Pradesh,S.P.S. Nellore,284.19
51,2014,1,Andhra Pradesh,Kurnool,263.71
51,2015,1,Andhra Pradesh,Kurnool,196.81
51,2016,1,Andhra Pradesh,Kurnool,254.64
51,2017,1,Andhra Pradesh,Kurnool,272.93
51,2018,1,Andhra Pradesh,Kurnool,258.75
51,2019,1,Andhra Pradesh,Kurnool,284.85
51,2020,1,Andhra Pradesh,Kurnool,262.13
52,2014,1,Andhra Pradesh,Ananthapur,115.13
52,2015,1,Andhra Pradesh,Ananthapur,87.91
52,2016,1,Andhra Pradesh,Ananthapur,76.42
52,2017,1,Andhra Pradesh,Ananthapur,87.2
52,2018,1,Andhra Pradesh,Ananthapur,100.93
52,2019,1,Andhra Pradesh,Ananthapur,88.64
52,2020,1,Andhra Pradesh,Ananthapur,96.3
53,2014,1,Andhra Pradesh,Kadapa YSR,277.4
53,2015,1,Andhra Pradesh,Kadapa YSR,189.37
53,2016,1,Andhra Pradesh,Kadapa YSR,217.7
53,2017,1,Andhra Pradesh,Kadapa YSR,197.58
53,2018,1,Andhra Pradesh,Kadapa YSR,223.18
53,2019,1,Andhra Pradesh,Kadapa YSR,233.35
53,2020,1,Andhra Pradesh,Kadapa YSR,250.34
54,2014,1,Andhra Pradesh,Chittoor,196.19
54,2015,1,Andhra Pradesh,Chittoor,150.14
54,2016,1,Andhra Pradesh,Chittoor,128.61
54,2017,1,Andhra Pradesh,Chittoor,151.07
54,2018,1,Andhra Pradesh,Chittoor,181.64
54,2019,1,Andhra Pradesh,Chittoor,168.41
54,2020,1,Andhra Pradesh,Chittoor,188.55
